subject,subcount,error
8,1,"HTTPSConnectionPool(host='farm5.staticflickr.com', port=443): Max retries exceeded with url: /4108/5185055338_1dec873bf3_b.jpg (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLZeroReturnError(6, 'TLS/SSL connection has been closed (EOF) (_ssl.c:1149)'))))"
8,2,"HTTPSConnectionPool(host='farm8.staticflickr.com', port=443): Max retries exceeded with url: /7356/13595854235_956936288c_b.jpg (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLZeroReturnError(6, 'TLS/SSL connection has been closed (EOF) (_ssl.c:1149)'))))"
8,3,"HTTPSConnectionPool(host='farm6.staticflickr.com', port=443): Max retries exceeded with url: /5462/14137960034_ab0d7f7168_b.jpg (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLZeroReturnError(6, 'TLS/SSL connection has been closed (EOF) (_ssl.c:1149)'))))"
9,1,"HTTPSConnectionPool(host='farm5.staticflickr.com', port=443): Max retries exceeded with url: /4108/5185055338_1dec873bf3_b.jpg (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLZeroReturnError(6, 'TLS/SSL connection has been closed (EOF) (_ssl.c:1149)'))))"
9,2,"HTTPSConnectionPool(host='farm8.staticflickr.com', port=443): Max retries exceeded with url: /7180/13238813053_90aaa31356_b.jpg (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLZeroReturnError(6, 'TLS/SSL connection has been closed (EOF) (_ssl.c:1149)'))))"
9,3,"HTTPSConnectionPool(host='farm3.staticflickr.com', port=443): Max retries exceeded with url: /2193/2542268670_0a3b6f3014_b.jpg (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLZeroReturnError(6, 'TLS/SSL connection has been closed (EOF) (_ssl.c:1149)'))))"
10,1,"HTTPSConnectionPool(host='farm5.staticflickr.com', port=443): Max retries exceeded with url: /4108/5185055338_1dec873bf3_b.jpg (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLZeroReturnError(6, 'TLS/SSL connection has been closed (EOF) (_ssl.c:1149)'))))"
10,2,"HTTPSConnectionPool(host='farm4.staticflickr.com', port=443): Max retries exceeded with url: /3713/11551650074_82a23fcd3a_b.jpg (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLZeroReturnError(6, 'TLS/SSL connection has been closed (EOF) (_ssl.c:1149)'))))"
10,3,"HTTPSConnectionPool(host='farm4.staticflickr.com', port=443): Max retries exceeded with url: /3754/9278406993_34436be5c1_b.jpg (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLZeroReturnError(6, 'TLS/SSL connection has been closed (EOF) (_ssl.c:1149)'))))"
11,1,"HTTPSConnectionPool(host='farm5.staticflickr.com', port=443): Max retries exceeded with url: /4108/5185055338_1dec873bf3_b.jpg (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLZeroReturnError(6, 'TLS/SSL connection has been closed (EOF) (_ssl.c:1149)'))))"
